seed words;gender-inflection
homemaker;female
nurse;female
receptionist;female
librarian;female
socialite;female
hairdresser;female
nanny;female
bookkeeper;female
stylist;female
housekeeper;female
interior designer;female
guidance counselor;female
designer;female
clerk;female
assistant;female
teacher;female
baker;female
auditor;female
editor;female
secretary;female
cashier;female
tailor;female
cleaner;female
writer;female
accountant;female
counselor;female
attendant;female
author;female
blogger;female
model;female
vegetarian;female
dancer;female
donor;female
lover;female
senior;female
therapist;female
blonde;female
asian;female
amateur;female
teen;female
bachelor;female
consumer;female
coordinator;female
seller;female
student;female
virgin;female
winner;female
maestro;male
skipper;male
protege;male
philosopher;male
captain;male
archictect;male
financier;male
warrior;male
broadcaster;male
magician;male
pilot;male
boss;male
developer;male
mechanic;male
mover;male
analyst;male
chief;male
salesperson;male
lawyer;male
cook;male
physician;male
farmer;male
CEO;male
manager;male
driver;male
guard;male
laborer;male
construction worker;male
carpenter;male
janitor;male
supervisor;male
sheriff;male
champion;male
user;male
contractor;male
engineer;male
controller;male
dealer;male
master;male
superior;male
follower;male
buddy;male
coach;male
fan;male
hero;male
idiot;male
musician;male
player;male
enemy;male
fighter;male
governor;male
leader;male
minister;male
officer;male
opponent;male
soldier;male
supporter;male
terrorist;male
veteran;male
Child;neutral
Adult;neutral
Citizen;neutral
Resident;neutral
Participant;neutral
Member;neutral
Passenger;neutral
Occupant;neutral
Worker;neutral
Employee;neutral
Traveler;neutral
Visitor;neutral
Performer;neutral
Volunteer;neutral
Patient;neutral
Customer;neutral
Client;neutral
Voter;neutral
Viewer;neutral
Spectator;neutral
Explorer;neutral
Tourist;neutral
Reader;neutral
Gamer;neutral
Contributor;neutral
Helper;neutral
Activist;neutral
Organizer;neutral
Specialist;neutral
Expert;neutral
Professional;neutral
Neighbor;neutral
Colleague;neutral
Friend;neutral
Acquaintance;neutral
Companion;neutral
Ally;neutral
Confidant;neutral
Roommate;neutral
Classmate;neutral
Peer;neutral
Co-worker;neutral
Associate;neutral
Partner;neutral
Collaborator;neutral
Inhabitant;neutral
Denizen;neutral
Local;neutral
Bystander;neutral
Observer;neutral
Resident;neutral
Nomad;neutral
Wanderer;neutral
Adventurer;neutral
Enthusiast;neutral
Seeker;neutral
Sojourner;neutral
Vacationer;neutral
Wayfarer;neutral
